matchId,team_name,player_name,location_x,location_y,shot_onTarget,shot_isGoal,shot_xg,shot_status
5233097,Wisła Kraków,M. Młyński,89,59,TRUE,FALSE,0.07406,På mål
5233096,Wisła Płock,D. Kocyła,89,74,TRUE,FALSE,0.06263,På mål
5233097,Wisła Kraków,Y. Yeboah,84,74,TRUE,FALSE,0.01216,På mål
5233097,Górnik Łęczna,M. Mak,88,67,TRUE,FALSE,0.1569,På mål
5233097,Wisła Kraków,F. Brown Forbes,74,53,TRUE,FALSE,0.06953,På mål
5233097,Wisła Kraków,K. Gruszkowski,88,47,TRUE,FALSE,0.2484,På mål
5233098,Nieciecza,R. Gergel,81,48,TRUE,FALSE,0.08002,På mål
5233098,Nieciecza,A. Putivtsev,79,37,TRUE,FALSE,0.04639,På mål
5233098,Nieciecza,N. Tekijaski,70,58,TRUE,FALSE,0.02886,På mål
5233098,Nieciecza,S. Štefánik,79,57,TRUE,FALSE,0.04651,På mål
5233099,Górnik Zabrze,R. Janicki,88,41,TRUE,FALSE,0.03224,På mål
5233099,Piast Gliwice,Tiago Alves,77,53,TRUE,FALSE,0.03225,På mål
5233099,Górnik Zabrze,B. Nowak,77,60,TRUE,FALSE,0.05547,På mål
5233099,Piast Gliwice,P. Sokołowski,100,61,TRUE,FALSE,0.3068,På mål
5233099,Piast Gliwice,Tiago Alves,79,49,TRUE,FALSE,0.06523,På mål
5233099,Piast Gliwice,J. Holúbek,72,30,TRUE,FALSE,0.03328,På mål
5233100,Zagłębie Lubin,E. Daniel,94,61,TRUE,FALSE,0.1414,På mål
5233100,Zagłębie Lubin,A. Ratajczyk,93,29,TRUE,FALSE,0.07231,På mål
5233100,Zagłębie Lubin,E. Daniel,87,62,TRUE,FALSE,0.05785,På mål
5233100,Śląsk Wrocław,Erik Expósito,93,29,TRUE,FALSE,0.07274,På mål
5233100,Zagłębie Lubin,M. Bartolewski,90,31,TRUE,FALSE,0.1582,På mål
5233100,Zagłębie Lubin,K. Kruk,94,62,TRUE,FALSE,0.03601,På mål
5233100,Śląsk Wrocław,K. Mączyński,81,35,TRUE,FALSE,0.1005,På mål
5233101,Pogoń Szczecin,J. Bartkowski,80,50,TRUE,FALSE,0.008046,På mål
5233101,Lech Poznań,Pedro Silva,77,65,TRUE,FALSE,0.04258,På mål
5233101,Lech Poznań,J. Kamiński,80,35,TRUE,FALSE,0.0328,På mål
5233101,Pogoń Szczecin,Jean Carlos,93,60,TRUE,FALSE,0.1135,På mål
5233102,Lechia Gdańsk,L. Zwoliński,49,50,TRUE,FALSE,0.01623,På mål
5233102,Radomiak Radom,Leândro,70,61,TRUE,FALSE,0.02352,På mål
5233102,Radomiak Radom,Leândro,75,66,TRUE,FALSE,0.03066,På mål
5233102,Lechia Gdańsk,M. Gajos,85,45,TRUE,FALSE,0.03277,På mål
5233103,Warta Poznań,Ł. Trałka,92,56,TRUE,FALSE,0.09454,På mål
5233103,Jagiellonia Białystok,К. Struski,82,63,TRUE,FALSE,0.05067,På mål
5233103,Warta Poznań,J. Grzesik,80,65,TRUE,FALSE,0.02778,På mål
5233103,Jagiellonia Białystok,A. Trubeha,88,55,TRUE,FALSE,0.249,På mål
5233103,Jagiellonia Białystok,B. Augustyn,88,41,TRUE,FALSE,0.03224,På mål
5233104,Wisła Kraków,K. Gruszkowski,87,48,TRUE,FALSE,0.3522,På mål
5233104,Wisła Kraków,M. Škvarka,92,49,TRUE,FALSE,0.1578,På mål
5233104,Legia Warszawa,E. Muçi,78,51,TRUE,FALSE,0.06827,På mål
5233104,Legia Warszawa,M. Emreli,90,59,TRUE,FALSE,0.2385,På mål
5233104,Legia Warszawa,Rafa Lopes,81,26,TRUE,FALSE,0.02363,På mål
5233105,Wisła Płock,D. Warchoł,90,47,TRUE,FALSE,0.04006,På mål
5233105,Wisła Płock,K. Vallo,87,63,TRUE,FALSE,0.1541,På mål
5233105,Wisła Płock,D. Warchoł,91,56,TRUE,FALSE,0.1628,På mål
5233105,Raków Częstochowa,Ivi López,65,56,TRUE,FALSE,0.01827,På mål
5233105,Raków Częstochowa,M. Cebula,53,51,TRUE,FALSE,0.008501,På mål
5233105,Raków Częstochowa,Ivi López,77,66,TRUE,FALSE,0.0366,På mål
5233105,Wisła Płock,D. Warchoł,91,45,TRUE,FALSE,0.1189,På mål
5233105,Raków Częstochowa,V. Gutkovskis,81,63,TRUE,FALSE,0.01974,På mål
5233105,Wisła Płock,L. Šušnjara,87,35,TRUE,FALSE,0.06149,På mål
5233106,Stal Mielec,G. Tomasiewicz,75,38,TRUE,FALSE,0.02054,På mål
5233106,Górnik Łęczna,D. Dziwniel,73,32,TRUE,FALSE,0.0145,På mål
5233107,Cracovia Kraków,P. van Amersfoort,94,55,TRUE,FALSE,0.4355,På mål
5233107,Cracovia Kraków,M. Rodin,89,42,TRUE,FALSE,0.06035,På mål
5233107,Cracovia Kraków,S. Lusiusz,95,51,TRUE,FALSE,0.5284,På mål
5233107,Górnik Zabrze,B. Nowak,78,62,TRUE,FALSE,0.02684,På mål
5233108,Jagiellonia Białystok,M. Żyro,75,28,TRUE,FALSE,0.0183,På mål
5233108,Jagiellonia Białystok,T. Romanczuk,79,66,TRUE,FALSE,0.02574,På mål
5233108,Stal Mielec,K. Getinger,88,27,TRUE,FALSE,0.02624,På mål
5233108,Jagiellonia Białystok,Jesús Imaz,82,69,TRUE,FALSE,0.01584,På mål
5233108,Jagiellonia Białystok,Jesús Imaz,98,43,TRUE,FALSE,0.448,På mål
5233109,Zagłębie Lubin,E. Daniel,86,65,TRUE,FALSE,0.1183,På mål
5233109,Piast Gliwice,Tiago Alves,77,65,TRUE,FALSE,0.04294,På mål
5233109,Piast Gliwice,K. Vida,89,41,TRUE,FALSE,0.04145,På mål
5233109,Piast Gliwice,T. Huk,91,46,TRUE,FALSE,0.1507,På mål
5233109,Zagłębie Lubin,T. Zajíc,96,43,TRUE,FALSE,0.2945,På mål
5233110,Pogoń Szczecin,P. Parzyszek,84,51,TRUE,FALSE,0.04707,På mål
5233110,Radomiak Radom,Leândro,82,64,TRUE,FALSE,0.06607,På mål
5233110,Radomiak Radom,Luís Machado,89,41,TRUE,FALSE,0.04544,På mål
5233110,Pogoń Szczecin,M. Kucharczyk,91,50,TRUE,FALSE,0.3287,På mål
5233111,Lech Poznań,M. Ishak,90,51,TRUE,FALSE,0.2218,På mål
5233111,Lech Poznań,M. Ishak,93,49,TRUE,FALSE,0.7486,På mål
5233111,Lech Poznań,M. Ishak,92,46,TRUE,FALSE,0.6808,På mål
5233111,Lech Poznań,Pedro Silva,76,43,TRUE,FALSE,0.04748,På mål
5233111,Raków Częstochowa,F. Tudor,91,42,TRUE,FALSE,0.1512,På mål
5233111,Raków Częstochowa,P. Kun,94,28,TRUE,FALSE,0.0261,På mål
5233111,Raków Częstochowa,Fábio Sturgeon,86,29,TRUE,FALSE,0.0527,På mål
5233111,Raków Częstochowa,V. Gvilia,95,65,TRUE,FALSE,0.1481,På mål
5233112,Nieciecza,M. Grzybek,87,68,TRUE,FALSE,0.0513,På mål
5233112,Nieciecza,B. Kukułowicz,69,34,TRUE,FALSE,0.01994,På mål
5233112,Warta Poznań,J. Papeau,88,41,TRUE,FALSE,0.06162,På mål
5233112,Nieciecza,S. Bonecki,79,42,TRUE,FALSE,0.06605,På mål
5233112,Warta Poznań,J. Papeau,73,32,TRUE,FALSE,0.0243,På mål
5233112,Warta Poznań,A. Ławniczak,88,45,TRUE,FALSE,0.09093,På mål
5233112,Nieciecza,A. Radwański,89,61,TRUE,FALSE,0.1653,På mål
5233112,Warta Poznań,Mario Rodríguez,85,45,TRUE,FALSE,0.1572,På mål
5233112,Warta Poznań,J. Papeau,79,66,TRUE,FALSE,0.0977,På mål
5233113,Wisła Kraków,K. Gruszkowski,93,65,TRUE,FALSE,0.08962,På mål
5233113,Wisła Kraków,M. Škvarka,80,35,TRUE,FALSE,0.04112,På mål
5233113,Wisła Kraków,S. Szota,85,46,TRUE,FALSE,0.3026,På mål
5233113,Lechia Gdańsk,T. Makowski,69,31,TRUE,FALSE,0.02851,På mål
5233113,Wisła Kraków,M. Hanousek,77,35,TRUE,FALSE,0.02021,På mål
5233113,Lechia Gdańsk,M. Gajos,85,53,TRUE,FALSE,0.1269,På mål
5233113,Wisła Kraków,P. Plewka,93,56,TRUE,FALSE,0.4385,På mål
5233114,Śląsk Wrocław,Erik Expósito,81,38,TRUE,FALSE,0.0688,På mål
5233114,Legia Warszawa,André Martins,88,40,TRUE,FALSE,0.07208,På mål
5233114,Legia Warszawa,T. Pekhart,94,54,TRUE,FALSE,0.1964,På mål
5233114,Śląsk Wrocław,Erik Expósito,70,67,TRUE,FALSE,0.02205,På mål
5233114,Śląsk Wrocław,R. Makowski,74,51,TRUE,FALSE,0.04317,På mål
5233114,Legia Warszawa,E. Muçi,72,43,TRUE,FALSE,0.04604,På mål
5233116,Górnik Zabrze,Jesús Jiménez,75,33,TRUE,FALSE,0.03534,På mål
5233115,Górnik Łęczna,M. Orłowski,90,71,TRUE,FALSE,0.03204,På mål
5233115,Górnik Łęczna,D. Gąska,86,76,TRUE,FALSE,0.02072,På mål
5233116,Górnik Zabrze,Jesús Jiménez,94,56,TRUE,FALSE,0.4963,På mål
5233116,Górnik Zabrze,L. Podolski,86,31,TRUE,FALSE,0.05762,På mål
