matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,pass,groundDuel,aerialDuel,infraction,carry,type_primary,type_secondary,location_x,location_y,team_id,team_name,team_formation,opponentTeam_id,opponentTeam_name,opponentTeam_formation,player_id,player_name,player_position,shot_bodyPart,shot_isGoal,shot_onTarget,shot_goalZone,shot_xg,shot_postShotXg,shot_goalkeeperActionId,shot_goalkeeper_id,shot_goalkeeper_name,possession_id,possession_duration,possession_types,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,possession_endLocation_x,possession_endLocation_y,possession_team_id,possession_team_name,possession_team_formation,possession_attack_withShot,possession_attack_withShotOnGoal,possession_attack_withGoal,possession_attack_flank,possession_attack_xg,distance_to_goal,angle_to_goal
5233307,2H,85,41,01:25:41.141,5261.141915,NA,NA,NA,NA,NA,NA,shot,,89,50,13559,Lechia Gdańsk,4-3-1-2,13512,Górnik Zabrze,3-4-3,223070,Í. Durmuş,LCMF3,left_foot,TRUE,TRUE,gtl,0.2522,0.7781,1260777315,571074,D. Bielica,1260777947,17.285159,,8,7,30,59,89,50,13559,Lechia Gdańsk,4-3-1-2,TRUE,TRUE,TRUE,right,0.2522,11,0
5233307,2H,57,54,00:57:54.081,3594.081491,NA,NA,NA,NA,NA,NA,shot,,77,58,13512,Górnik Zabrze,3-4-3,13559,Lechia Gdańsk,4-3-1-2,256737,B. Nowak,RWF,right_foot,TRUE,TRUE,gbr,0.05736,0.2194,1260777729,99376,D. Kuciak,1260777004,9.0610985,,6,5,37,22,77,58,13512,Górnik Zabrze,3-4-3,TRUE,TRUE,TRUE,left,0.0574,24.351591323771842,19.17900802581072
5233308,1H,24,11,00:24:11.861,1457.861744,NA,NA,NA,NA,NA,NA,shot,,93,38,13527,Jagiellonia Białystok,4-5-1,13518,Pogoń Szczecin,4-1-4-1,616883,Diego Carioca,LW,left_foot,TRUE,TRUE,gbr,0.07647,0.6217,1255385427,69354,D. Stipica,1255385538,10.2851945,,9,8,31,100,93,38,13527,Jagiellonia Białystok,4-5-1,TRUE,TRUE,TRUE,left,0.0765,13.892443989449804,59.743562836470744
5233308,1H,33,25,00:33:25.617,2011.617329,NA,NA,NA,NA,NA,NA,shot,,90,52,13518,Pogoń Szczecin,4-1-4-1,13527,Jagiellonia Białystok,4-5-1,33032,K. Grosicki,LW,right_foot,TRUE,TRUE,glb,0.3073,0.7599,1255385709,97077,P. Šteinbors,1255385562,11.626591,,7,6,28,61,90,52,13518,Pogoń Szczecin,4-1-4-1,TRUE,TRUE,TRUE,right,0.3073,10.198039027185569,11.309932474020213
5233308,2H,72,54,01:12:54.699,4456.699143,NA,NA,NA,NA,NA,NA,shot,,93,52,13518,Pogoń Szczecin,4-1-4-1,13527,Jagiellonia Białystok,4-5-1,99415,K. Drygas,LCMF,right_foot,TRUE,TRUE,gb,0.4893,0.5992,1255386511,97077,P. Šteinbors,1255386302,37.749156,,20,19,0,53,93,52,13518,Pogoń Szczecin,4-1-4-1,TRUE,TRUE,TRUE,right,0.4893,7.280109889280518,15.945395900922854
5233309,1H,42,12,00:42:12.400,2538.400973,NA,NA,NA,NA,NA,NA,shot,,90,57,13530,Piast Gliwice,3-5-2,13505,Legia Warszawa,4-2-3-1,99672,D. Kądzior,SS,left_foot,TRUE,TRUE,gbr,0.1204,0.542,1260569065,18970,R. Strebinger,1260569228,34.4504815,,18,17,87,100,90,57,13530,Piast Gliwice,3-5-2,TRUE,TRUE,TRUE,right,0.1204,12.206555615733702,34.99202019855866
5233310,1H,11,13,00:11:13.896,674.89635,NA,NA,NA,NA,NA,NA,shot,,89,48,13545,Warta Poznań,3-4-3,13544,Stal Mielec,5-4-1,222038,D. Szymonowicz,CB,head_or_other,TRUE,TRUE,gr,0.1336,0.5129,1255111742,507594,R. Strączek,1255112529,1.874396,,6,5,74,86,89,48,13545,Warta Poznań,3-4-3,TRUE,TRUE,TRUE,center,0.1336,11.180339887498949,10.304846468766033
5233311,1H,43,15,00:43:15.767,2601.767532,NA,NA,NA,NA,NA,NA,shot,,96,39,13510,Lech Poznań,4-2-3-1,13508,Wisła Płock,4-4-2,240042,D. Kownacki,CF,right_foot,TRUE,TRUE,gr,0.1519,0.5436,1255267750,100127,K. Kamiński,1255268387,15.471917,,9,8,6,47,96,39,13510,Lech Poznań,4-2-3-1,TRUE,TRUE,TRUE,left,0.1519,11.704699910719626,70.01689347810003
5233312,1H,5,35,00:05:35.083,341.083859,NA,NA,NA,NA,NA,NA,shot,,95,48,13504,Wisła Kraków,4-2-3-1,13536,Śląsk Wrocław,3-4-3,152,E. Manu,AMF,left_foot,TRUE,TRUE,gb,0.6208,0.7929,1260945665,99690,M. Szromnik,1260946744,7.6773905,,5,4,43,78,95,48,13504,Wisła Kraków,4-2-3-1,TRUE,TRUE,TRUE,right,0.6208,5.385164807134504,21.80140948635181
5233312,1H,40,52,00:40:52.561,2458.56166,NA,NA,NA,NA,NA,NA,shot,,93,51,13536,Śląsk Wrocław,3-4-3,13504,Wisła Kraków,4-2-3-1,225950,Caye Quintana,LWF,right_foot,TRUE,TRUE,gb,0.447,0.535,1260947151,184,P. Kieszek,1260946085,7.092596,,7,6,67,87,93,51,13536,Śląsk Wrocław,3-4-3,TRUE,TRUE,TRUE,left,0.447,7.0710678118654755,8.13010235415598
